IPC,priorityCountryRegion
C10G45/68 | C10G69/06 | C10G9/36 | C10G47/18,US
C09K8/12 | C09K8/035,CN | CN
C09K8/12 | C09K8/035,CN | CN
C09K8/12 | C09K8/035,CN | CN
C09K8/12 | C09K8/035,CN | CN
C09K8/08 | C09K8/28,CN | CN
E21B43/24 | C09K8/592,CZ
C02F9/00 | C02F1/52 | C02F1/38 | C02F1/72 | C02F1/66 | C02F103/10,PL
G01V3/00 | G01V3/02 | G01V3/12 | G01V3/20 | G01V3/30 | G01N27/02 | E21B49/00,US | US
C07C27/06,US
C07C41/09 | C07C29/151,US
C02F9/00 | C02F1/38 | C02F1/52 | C02F1/66 | C02F1/72 | C02F1/68,PL
E21B43/34 | E21B43/12 | C09K8/94 | E21B43/16 | E21B43/38 | E21B43/32 | E21B43/00 | E21B43/25 | C09K8/594,AU | AU
C02F1/52 | E21B43/26 | E21B21/00,AU
E21B47/00 | E21B44/00,KR | KR
E21B49/08 | E21B47/00,US
-,US | WO
E21B49/08 | E21B47/00,US
E21B47/06 | E21B49/00,US | WO
E21B47/06 | E21B49/00,US
E21B49/08 | E21B47/00,US
E21B49/00 | E21B44/00 | E21B47/00,KR | KR
E21B41/00 | E21B43/00 | E21B43/26 | E21B43/16 | E21B43/30,PL
E21B41/00 | E21B43/00 | E21B43/26 | E21B43/16 | E21B43/30,PL
E21B47/00 | E21B44/00,KR | KR
G01N15/08 | G01N33/24,CN
G01N15/08 | G01N33/24 | E21B49/02,CN
E21B49/00 | E21B44/00 | E21B47/00,KR | KR
G01N33/28 | G01N21/64,-
C10G1/00,US
C07C5/333 | C07C2/06 | C10L3/10,US | US
C07C5/32 | C10G9/36 | C10G47/18 | F25J3/02 | C07C6/02 | C10G65/10 | C10G69/06 | C10G69/14 | C10G45/68,US
C09K8/12 | E21B43/20 | E21B21/00 | C08G69/28,-
C10B53/06 | C10G1/00 | C10B57/16 | C10L3/10 | C10B47/02 | C10G1/02 | C10L3/08,WO | TR | TR
C09K8/38 | B01F3/04,CN
C12G1/02 | C10B53/06,TR | WO | TR
C12G1/02 | C10B53/06,WO | TR | TR
C12G1/02 | C10B53/06,WO | TR | TR
B01J19/10 | C07C2/56,US | US
C10G1/00 | C10G9/02 | C10G1/02 | C10B53/06 | C10G19/073 | C10G19/067,US
G01V1/28 | G01V1/50 | G06F17/50,CN
G06F30/23 | G01V1/28 | G01V1/50,CN
C10G1/02 | C10B53/06,-
