IPC,priorityCountryRegion
C10G67/14 | C10G67/04 | C10G45/02 | C10L1/08 | C10L1/04,WO
E21B49/00 | E21B44/00 | E21B47/00 | E21B41/00 | G01V1/40 | G01V99/00 | G06F30/13,-
E21B33/12 | C08K5/42 | C08L21/00 | C08K5/00,JP
E21B47/005 | E21B43/34 | E21B43/16 | E21B33/138,GB
C10G67/14 | C10L1/04 | C10L1/08 | C10G67/04 | C10G45/02,WO
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
B01D61/00 | B01D69/02 | B01D69/12 | B01D69/08 | B01D69/10 | B01D71/68 | B01D71/56 | B01D71/54 | B01D63/04 | C02F1/44 | B01D67/00,JP | JP
B01D53/04 | C10K1/00 | C10K1/32 | C10G25/12 | C10G25/00 | C10G25/05 | C10G25/06 | C10G29/00 | C10G29/20 | C10G75/02 | C10L3/10 | B01D53/06,-
C07C2/84 | C07C5/333 | B01J12/00 | B01J19/24 | C07C11/04,US
C07C2/84 | B01J19/24 | B01J12/00 | C07C5/333,US
E21B47/16 | E21B43/26,US | US
E21B49/00 | E21B43/26 | G01V1/46,US | US
C07D305/12 | C07D307/60 | C01B3/50 | C10G2/00,US
C07C2/84 | C07C5/333 | B01J12/00 | B01J19/24 | C07C11/04,US
E21B43/16 | E21B47/005 | E21B33/138 | E21B43/34,GB
C07C2/84 | C07C5/333 | B01J12/00 | B01J19/24,US
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
E21B47/16 | E21B43/26,US | US
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
C12Q1/64 | C12Q1/689 | G01N33/24 | G01V9/00 | G01N1/02 | E21B49/08,US
C10L1/24,-
C10G67/14 | C10L1/04 | C10L1/08 | C10G45/02 | C10G67/04,-
E21B49/00 | E21B43/26 | G01V1/46,US | US
C07D305/12 | C07D307/60 | C01B3/50 | C10G2/00,US
B01J23/83 | B01J35/00 | B01J23/78 | B01J21/02 | B01J37/04 | B01J37/00 | B01J21/06 | B01J21/08 | B01J21/04,KR
E02B1/00,US
C02F1/44 | B01D61/08 | C02F1/463 | B01D21/00 | C02F1/40 | C02F1/465,US
B01D53/22 | B01D53/04 | B01D53/047,KR
E21B43/24 | C09K8/90 | C09K8/84 | C09K8/80 | E21B43/267 | E21B43/26,US
B01D53/047 | B01D53/22 | B01D53/04 | C10L3/10,KR
C10G1/06,-
F16L15/00 | F16L15/06,US
B01D63/10 | B01D71/56 | C09D177/10 | C08G69/32 | C08G69/28 | B01D69/12 | B01D67/00,JP
G01V1/30 | G01V1/42 | E21B41/00,US
F16L15/00 | E21B17/042 | F16L15/06,US
E21B37/02,GB | GB
C09K8/10 | C09K8/68 | C09K8/90 | E21B43/26 | C09K8/575 | C09K8/42 | E21B21/00 | C09K8/40 | C09K8/72,JP | JP | JP
F16L15/06 | F16L15/00 | F16L25/00,US
F16L15/00,US
C12M1/00 | C12P7/18 | C12P7/54 | C12P7/06,US
B01J8/00 | F16K3/02,-
E21B43/26 | E21B43/14 | E21B43/267,US
C12M1/00 | C12P7/18 | C12P7/06 | C12P7/54,US
E21B37/02 | E21B29/00,GB | GB
C08K5/18 | C08G18/42 | C08K5/11 | E21B29/02 | E21B33/12,JP
G01V1/30 | E21B41/00 | G01V1/28 | G01V1/42,US
F16L15/00 | F16L15/06 | E21B17/10,US
C09K8/10 | E21B43/26 | C09K8/72 | C09K8/42 | E21B21/00 | C09K8/575 | C09K8/40 | C09K8/90 | E21B33/14 | C09K8/68,JP | JP | JP
C09K8/68 | C09K8/80 | C08F20/58 | C07C309/15 | E21B43/26,FR
C08K5/18 | E21B33/12 | C08L21/00 | C08G18/42 | E21B29/02 | C08K5/11,JP
F02B75/02 | F01L13/00 | F01L1/04 | F02M26/04 | B60K6/24 | B60K6/26 | F02M26/22,JP
E21B43/26 | C07C309/15 | C08F20/58 | C09K8/68 | C09K8/80 | C09K8/588 | E21B43/16 | C02F11/147 | C02F1/56 | C02F103/10,FR
G01V99/00 | E21B49/08 | G06N3/08 | G06F30/28,US
F02B75/02 | F02M26/04 | F02M26/22 | B60K6/24 | B60K6/26 | F01L1/04 | F01L13/00,JP
F02B75/02 | F02M26/04 | F02M26/22 | B60K6/24 | B60K6/26 | F01L1/04 | F01L13/00,JP
C10G11/18 | C10G11/12,US
E21B43/27 | E21B33/068 | E21B43/26,US
C10G9/20 | C07C4/04 | C07C29/50 | C07C29/10,EP | US
G01V99/00 | E21B49/08 | G06F30/28 | G06N3/08,US
F02B75/02 | F02M26/04 | F02M26/22 | B60K6/24 | B60K6/26 | F01L1/04 | F01L13/00,JP
C10G11/12 | C10G11/18,US
E21B33/068 | E21B43/27 | E21B43/26,US
F16L15/06 | F16L15/00 | E21B17/043,EP
G21F9/00 | E21B43/00,-
G01V3/12 | G01V3/38 | G01V3/30,US
C07C2/76 | C07C2/86,EP | US
E21B41/00 | E21B43/16,US | US
F02F1/24 | H01T13/20,EP
C09K8/68 | E21B43/26,US
E21B43/267 | C09K8/68,US
C07C2/86,EP | US
E21B43/16,US
G01V3/30 | G01V3/38,US
C10G69/02 | C10G69/10 | C10G63/02 | C10G69/08 | C10G59/02,US | US
G05F5/00,US
G01J3/44 | G01V11/00 | G01V8/02 | G01V3/30 | G01N21/65 | G01V3/38 | E21B47/06,US
G06F17/50 | G06F17/10,US
E21B43/26 | E21B43/16 | E21B41/00 | E21B43/00,US | US
H02J4/00 | G05B13/02 | H02J3/00 | H02J3/14,US
C10L10/00 | F23J7/00,US
C10G69/02,US | US
E21B43/26 | E21B43/16 | E21B41/00 | E21B43/00,US | US
C07C2/86,EP | US
C07C2/76 | C07C2/86 | C10G3/00,EP | US
G01V3/00 | G01N33/24 | G01V3/30 | G01V3/38 | G01V3/28 | G01V3/12 | G01V3/10 | G01V3/04 | G01V3/02,US
B01J20/22 | B01J20/28 | B01J20/30,EP
G01V3/12 | G01N33/24 | G01V3/28 | G01V3/30 | G01V3/38,US
B01D53/02 | B01D53/62 | C01B3/38,US
C01B3/42 | C01B3/56 | C10J3/57 | B01J8/12 | B01J8/38 | B01J19/18,US
B01J23/75 | B01J35/00 | C25B3/02 | B01J21/06 | C25B3/23 | C25B3/25,KR
G06T11/00 | G06T7/49 | G06T7/11 | G06T7/136 | G01N1/28,CN
C02F9/00 | C02F1/00 | B01D3/06 | B01D3/00 | B01D1/00 | B01D61/02,US
B01J23/28 | B01J6/00 | C07C5/32 | B01J37/02,CN
C10L10/00 | F23L7/00 | F23J7/00 | F23C99/00,US
C10J3/00 | C10J3/57,GB
G06T11/00 | G06T7/49 | G06T7/11 | G01N1/28 | G06T7/136 | G01N15/08,CN
C07C5/32 | B01J23/28 | B01J23/22 | B01J6/00 | B01J37/02 | B01J21/04 | B01J21/06 | B01J21/08,CN
C02F9/00 | B01D3/06 | B01D3/00 | B01D1/00 | B01D61/02 | C02F1/00 | C02F101/20 | C02F1/44 | C02F1/463 | C02F1/04 | C02F1/06 | C02F1/16 | C02F103/10 | B01D61/14,US
B01J23/75 | B01J35/00 | B01J21/06 | B01J21/18 | B01J23/755 | B01J37/00 | B01J37/34 | B01J37/03 | C25B3/23 | C07C49/08 | C07C27/10 | C07C31/04 | C07C31/08 | C07C31/10 | C25B3/25,KR
C02F1/44 | C02F1/00 | C02F1/463,US | US
C09K8/70 | C01G49/14,JP
C01B3/42 | C10J3/57 | B01J8/12 | B01J8/38 | B01J19/18 | C01B3/56 | B01J8/32 | C01B3/34 | C10J3/26 | C10J3/72,US
C02F9/00 | B01D3/06 | B01D3/00 | B01D1/00 | B01D61/02 | C02F1/00,US
H01M8/0656 | H01M16/00 | C25B1/02 | C25B15/08 | C25B9/70 | C01B3/34,GB
G01V1/28 | G01V1/42,EP
B01D53/02 | B01D53/62 | C01B3/38 | B01D53/04 | B01D53/86,US
C09K8/70 | C01G49/14,JP
G01V3/12 | G01V3/28 | G01N33/24 | G01V3/30 | G01V3/38,US
C09K8/32 | C09K8/03 | C09K8/05 | C09K8/26,CN
C02F1/44 | B01D61/02,KR
G01V1/28 | G01V1/42,EP
C10J3/00 | C10J3/57,GB
C02F1/44 | C02F1/00 | C02F1/463 | C02F101/20,US
C02F9/00 | B01D3/06 | B01D3/00 | B01D1/00 | B01D61/02 | C02F1/00 | C02F101/20 | C02F1/44 | C02F1/463 | C02F1/04 | C02F1/06 | C02F1/16 | C02F103/10 | B01D61/14,US
G06V10/74 | G06V10/764 | G06V10/77 | G06V10/82 | G06V10/24 | G06V10/26 | G06V10/774,CN
G06V10/74 | G06V10/764 | G06V10/774 | G06V10/82 | G06V10/24 | G06V10/77 | G06V10/26,CN
C02F9/00 | B01D3/06 | B01D3/00 | B01D1/00 | B01D61/02 | C02F1/00,US
C09K8/035 | C08B15/00 | C09K8/62,US | US
B01D19/00,US
B01D21/02 | B01D21/24 | B01D17/12,WO | US
B01D21/24 | C02F1/48 | B01D17/02 | E21B43/26 | B01D21/02 | B01D21/34 | B01D17/04 | E21B43/34 | C02F1/00 | B01D19/00,US
G01V1/40 | G06F17/00 | G05D7/00 | G01V1/28,RU
C02F1/00 | B01D17/12 | B01D21/00 | C02F1/48 | B01D21/02 | B01D21/24 | B01D21/34 | B01D17/02 | B01D19/00,US
B01D53/26 | E21B43/34,-
C02F1/00 | B01D21/34 | B01D19/00,WO | US
B02C19/00 | B02C21/00 | B02C23/00,US
C02F1/48 | B01D17/02 | B01D21/02 | B01D21/24 | B01D17/12 | B01D19/00,-
C12P7/14 | C12P7/54 | C12P7/18 | C12M1/21 | C12P7/06 | C12M1/34 | C12M1/00,US
C12M1/00 | H01M8/06 | H01M4/92 | H01M8/1009 | C12M1/12 | H01M8/1039,US
C12M1/34 | C12M1/00 | C12P7/18 | C12M1/21 | C12P7/06 | C12P7/54,US
G05D7/00 | G06F17/00 | E21B47/14 | G05D11/00 | G01V1/00 | G01V1/28 | G01V1/40 | E21B43/26,RU
B01D19/00,US
E21B43/26,US
C02F1/48 | B01D19/00 | E21B43/34 | B01D17/12 | B01D21/24 | B01D21/34 | C02F1/00 | B01D17/02,WO | US
C02F1/48,US
C01B3/26 | C07C1/04,US
E21B43/26 | E21B43/11,US
E21B43/34 | B01D21/24 | B01D19/00 | B01D21/00 | E21B43/26 | B04C5/28,US
C02F1/48,US
E21B43/34 | B01D21/24 | B01D19/00 | B01D21/00 | E21B43/26 | B04C5/28,US
B02C13/00 | B02C19/00 | B02C15/00,US
C07C51/14 | C01G55/00 | C01G53/11 | C01G51/00 | B01J23/74 | C07C53/122 | B01J8/02,US
G06F17/30 | G06F3/0484 | G06F11/34 | G06F3/0481,-
C02F1/00 | C02F1/48 | B01D19/00 | B01D21/34 | E21B43/267 | E21B21/06 | B01D17/02 | B01D21/02 | B01D17/12 | B01D21/24 | B01D17/04 | E21B43/26 | E21B43/34 | B01D21/00 | C02F103/06 | C02F103/10 | C02F101/32,-
H01M8/04 | C12M1/00 | C12M1/12 | H01M4/92 | H01M8/06 | H01M8/1009 | H01M8/1039 | H01M8/1018,US
B01D53/32 | B01D71/02 | B01J8/02 | B01J8/06 | B01J19/24 | C07C2/84 | C01G25/00,US | US
C07C51/14 | C01G51/00 | C01G53/11 | C01G55/00 | C07C53/122 | B01J8/02 | B01J23/74,US
E21B43/34 | E21B43/26 | B01D19/00 | B01D21/00 | C02F1/20 | C02F1/38 | C02F1/00,-
C09K8/28 | C09K8/24 | C09K8/74 | C09K8/584 | C09K8/12 | C09K8/20 | C09K8/16,CN
E21B43/11 | E21B43/26 | E21B49/00,US
C02F1/48 | E21B43/267 | B01D21/34 | B01D19/00 | C02F1/00 | E21B21/06 | B01D21/00 | E21B43/34 | B01D17/02 | B01D21/02 | B01D17/12 | B01D21/24 | B01D17/04 | E21B43/26 | C02F101/32 | C02F103/06 | C02F103/10,US
C09K8/035 | C08B37/00 | C09K8/62 | C04B28/02 | C08B15/00 | C09K8/90 | C09K8/68 | C08H8/00,US | US
C07C2/76 | C01G25/00 | B01J8/02 | B01J19/24 | B01J8/06 | B01D53/32 | B01D71/02 | C07C2/84 | C04B35/626 | C04B111/00,US | US
B01D21/00 | E21B43/26 | B04C5/28 | B01D21/24 | E21B43/34 | B01D19/00,US
B01D21/00 | E21B43/34 | B01D19/00 | B04C5/28 | B01D21/24 | E21B43/26,US
B01D21/00 | E21B21/06 | C02F9/00 | B01D21/24 | B01D19/00 | C02F1/38 | C02F1/20 | C02F1/40 | B01D17/02,-
C07F3/06 | B01J20/22,US
C09K8/035 | C08H8/00 | C09K8/68 | C09K8/90 | C08B37/00 | C04B28/02 | C08B15/00 | C09K8/62,US | US
G01N15/08,FR
C07F3/06 | B01J20/22 | B01J20/28 | B01J20/30,US
G01N21/3504 | G01J3/02 | G01J3/453 | G01N21/3577 | G01N21/3563,GB
G06Q50/02 | G06N3/08 | G06N20/10,US
C07C2/84 | C07C7/20 | C07C7/148,DK
C09K8/00 | C09K8/035 | C08H8/00 | C09K8/68 | C09K8/90 | C08B37/00 | C04B28/02 | C08B15/00 | C09K8/62 | C04B103/44,US | US
G01N21/3504 | G01J3/02 | G01J3/453 | G01N21/3563 | G01N21/3577 | G01N21/17 | G01N21/35,GB
E21B43/26 | E21B36/04 | E21B43/00,FR
E21B37/02 | E21B12/06 | E21B37/00,GB | GB
C21B5/00 | C21B7/00,JP
C02F1/44 | B01D61/00 | C02F1/52,-
C01B3/00 | B01J8/00 | B01J8/08 | B01J19/18 | C01B3/02 | C01B3/22 | C01B3/26 | C01B3/28 | C01B3/32,US | US
C30B7/08 | C30B29/54 | B01D9/00 | C02F1/22 | C02F1/00 | C02F1/52,-
C10G70/04,EP
G06G7/48 | G06F19/00 | E21B47/26,-
G06G7/48 | G01V1/30 | G01V9/00 | G01V99/00 | G06F17/50,-
G06G7/48,-
G06F19/00 | E21B47/26,-
G06G7/48 | E21B47/26 | G06F17/10,-
G06F19/00 | E21B47/26 | G06G7/48,-
G06G7/48 | G01V1/30 | G01V9/00 | G01V99/00 | G06F17/50,-
E21B49/00 | E21B47/10 | G06F17/10,-
G01V1/30 | G01V99/00 | G06F17/50,-
C07C1/20 | C07C6/04,DE
C08G73/10 | B01D63/02 | B01D69/08 | B01D71/64,CN | CN | CN
E21B49/08,FR
E21B49/08,FR
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
C21B7/00 | C21B5/00 | F27B1/16 | C21B7/16 | C21B5/02,JP
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
C09K8/80 | C04B33/135 | C04B38/00,PL
C21B7/00 | C21B5/00,JP
F23N5/00 | F23R3/02 | F23R3/28 | F23N5/08 | F23N5/10 | F23N5/16 | F23N5/24,US
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
E21B49/08 | E21B47/06 | G01V8/02,US
C09K8/92 | C09K8/70 | C09K8/516 | E21B43/26,US | US
C21B7/00 | C21B5/00 | C21B5/02 | C21B7/16 | F27B1/16,JP
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
B01D53/62 | C25B9/08 | C25B9/19,US
C21B7/00 | C21B5/00,JP
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
C21B7/00 | C21B5/00,JP
C09K8/80 | C04B33/135 | C04B38/00,PL
A01N63/00,US
-,-
C21B7/00 | C21B5/00,JP
C21B7/00 | C21B5/00 | C21B5/02 | C21B7/16 | F27B1/16,JP
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
A01N59/00 | A01P1/00 | C09K8/524 | C09K8/54 | E21B37/06 | E21B41/02 | A01N63/00,US
E21B49/00 | E21B47/06,GB
E21B49/00 | E21B43/16 | E21B43/20 | E21B47/06,-
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
G01F15/02 | G01F25/00 | G01F15/00 | G01F1/42 | G01F1/84,JP
F25J1/00 | F25J3/08,JP | JP
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
F25J1/00 | F25J3/02 | F25J3/06 | F25J5/00,JP | JP
E21B49/00 | E21B47/06,GB
E21B49/00 | E21B47/06,GB
E21B49/00 | E21B47/06,GB
F25J1/00,JP | JP
E21B43/26 | E21B43/00,JP
E21B43/26 | E21B43/00,JP
E21B49/00 | E21B43/16 | E21B43/20 | E21B47/06,-
E21B49/00 | E21B47/06 | E21B47/07,GB
E21B43/00,-
A01N59/00 | A01P1/00 | C09K8/524 | C09K8/54 | E21B37/06 | E21B41/02,US
A01N35/02 | A01P3/00 | C23F11/00 | A01P13/00 | C23F11/12,JP
G05B13/02 | E02B3/00 | G05D7/06,GB
C10G1/04 | E21B43/243,-
C10C3/08,CA
E21B7/02 | E21B15/00,NL | NL
C12N1/20 | C12N1/36 | C12P7/54,US | US
E21B43/00,-
C23F11/12,JP
C09K8/80 | E21B43/267,US | US
C09K8/80 | E21B43/267,US | US
C10G1/02 | C10B49/04 | C10B53/06,-
A01N35/02 | A01P3/00 | C23F11/00 | A01P13/00 | C23F11/12,JP
C12N1/20 | C12N1/36 | C12P7/54,US | US
E21B7/02 | E21B15/00,NL
C12N1/20 | C12N1/36 | C12P7/54 | C12N13/00 | C12P3/00 | C12P5/02 | C12P7/52 | C12P7/62 | C12P39/00 | H01M8/16,US | US
E21B43/00,-
A01N35/02 | A01P3/00 | C23F11/00 | A01P13/00 | C23F11/12,JP
C21B5/00 | C21B7/00,JP
C10L1/06 | C10L1/08 | C10G69/04,US
C10G1/02 | C10G1/00 | C10B53/06,BR
E21B7/02 | E21B15/00,NL
C12N1/20 | C12N1/36 | C12P7/54 | C12N13/00 | C12P3/00 | C12P5/02 | C12P7/52 | C12P7/62 | C12P39/00 | H01M8/16,US | US
E21B43/00 | C10L3/06 | E21B43/01 | E21B43/16,-
C10G69/04,US
E21B43/00,AU
C10G1/02,-
G05B13/04 | E02B13/00,GB
C10G1/04 | E21B43/243,-
-,WO | GB
C07C1/20 | C07C2/86 | C07C4/02 | C07C15/02 | B01J29/06,-
C10G1/04 | C10G21/00,CA
C21B5/00 | C21B7/00 | C21B7/16 | F27B1/16 | F27D7/02,JP
C21B5/00 | C21B7/00 | C21B7/16 | F27B1/16 | F27D7/02,JP
C10G69/04,US
C10L1/06 | C10G11/18 | C10G69/04 | C10L1/08 | C10G47/02,US
E21B7/02 | E21B15/00,NL | NL | WO
C10G69/04,US
C10L1/06 | C10L1/08 | C10G69/04,US
A01N35/02 | A01P3/00 | A01P13/00 | C23F11/12,JP
C21B5/00 | C21B7/00,JP
C01B3/38,US
E21B7/02 | E21B15/00,NL | NL
F27B1/16 | F27D7/02 | F27D17/00 | C21B5/00 | C21B7/00 | C21B7/16 | F23L15/04,JP
C10L1/06 | C10L1/08 | C10G69/04,US
C10L1/06 | C10L1/08 | C10G69/04,US
C07C5/32,US
C21B5/00 | C21B7/00,JP
C07C5/48 | B01J3/00 | B01J8/00 | B01J12/00 | C07C2/84,US
C08G63/46 | C08G63/78,JP
C09K8/467 | C04B28/02 | C09K8/42,-
C23F11/12,JP
C07C1/20 | C07C2/86 | C07C4/02 | C07C15/02 | B01J29/06,-
B01J20/34 | B01D53/047 | B01J20/18 | C01B3/56 | C01B32/50 | C12P7/02,JP
C10L1/06 | C10G11/18 | C10G69/04 | C10L1/08 | C10G47/02,US
C08G63/46 | C08G63/78,JP
C10L1/04 | C10G69/04,US
B01J20/34 | B01D53/047 | B01J20/18 | C01B3/56 | C01B32/50 | C12P7/02,JP
B01J23/63 | C07C5/333 | C07C11/06,CN
C10L1/04 | C10G69/04,US
B01J23/63 | C07C5/333 | C07C11/06,CN
E21B47/12 | E21B49/02 | G01V3/32 | G01V1/40 | G06N20/00,US | US
C08J3/05 | C08G63/06 | C08G63/91,JP
B01J23/63 | C07C5/333 | C07C11/06 | B01J37/02,CN
C08J3/05 | C08G63/06 | C08G63/91,JP
B01J23/63 | B01J37/02 | C07C5/333 | C07C11/06,CN
E21B43/12,IN
G06Q30/02 | C07C51/09 | C08F122/02,US
C02F5/02 | C23F14/02 | C02F1/04,JP
F25J1/00 | F25J1/02,NO
C08L67/07 | B01J20/26 | C07C51/09 | C08L67/04 | G06Q30/02 | C08F122/02,US
G01N1/10 | G01N21/78,AU
B01J20/22 | B82Y30/00 | B82Y40/00 | B01J20/30 | C02F1/28,JP
E21B43/295 | E21B43/24 | E21B43/38,-
E21B43/12,IN
C02F1/60 | B01D9/02 | C02F1/08,JP
C10G11/00,US
E21B34/06 | E21B34/08 | E21B43/25,-
G06Q30/02 | C08F122/02 | C07C51/09,US
E21B43/22 | C09K8/68 | C09K8/80,US
G06Q30/02 | C08F122/02 | C07C51/09,US
E21B43/295 | E21B43/24 | E21B43/38,-
C02F1/60 | B01D9/02 | C02F1/08,JP
G06Q30/02 | C08F122/02 | C07C51/09,US
F25J1/00 | F25J1/02,NO
G16C60/00 | G01N3/26 | G01N15/08,KR
C02F1/60 | B01D9/02 | C02F1/08,JP
E21B43/12,IN
B01D45/16,-
E21B49/00,-
G16C60/00,KR
B60K1/04 | H02J7/00 | B60L50/50 | B60L58/18,JP
G06Q30/02 | C08F122/02 | C07C51/09,US
C07C | C08F | G06Q,US
B01J20/22 | B82Y30/00 | B82Y40/00 | B01J20/30 | C02F1/28,JP
B60K1/04 | H02J7/00 | B60L50/50 | B60L58/18,JP
E21B17/042,-
E21B17/042,EP
E21B49/00,-
E21B17/042,-
E21B17/042,-
E21B17/042,EP
E21B49/00,-
C12P7/64 | C12N1/20,US
E21C41/00 | G06Q50/02,FR
C12P7/64 | C12N1/20,US
C08L67/04 | C08J3/20 | C08K3/00 | C08L101/16,JP
C12N1/20 | C12P7/64,US
C08L67/04 | C08J3/20 | C08L101/16 | C08K3/00,JP
C12P7/64 | C12N1/20 | C12N9/00 | C12N9/02 | C12N9/04 | C12N9/06 | C12N9/16 | C12N15/52 | C12P7/24 | C12P7/42 | C12P7/44,US
C12P7/64 | C12N1/20 | C12N9/00 | C12N9/02 | C12N9/04 | C12N9/06 | C12N9/16 | C12N15/52 | C12P7/24 | C12P7/42 | C12P7/44,US
C12N1/21 | C12P7/6436 | C12N1/20 | C12N9/00 | C12N15/52 | C12P7/02 | C12P7/62 | C12P7/64,US
G01N33/28 | C12Q1/64 | G01V9/00,US | US | US
G01N33/28 | C12Q1/64 | G01V9/00,US | US | US
G01N33/28 | C12Q1/64 | G01V9/00,US | US | US
C12P7/64 | C12N1/20 | C12N9/04 | C12N9/02 | C12N9/00 | C12N9/06 | C12N9/16 | C12P7/24 | C12P7/42 | C12P7/44 | C12N15/52,US
B01D69/12 | B01D69/10 | B01D71/06 | B01D53/22,US | US
B01J29/04 | B01J29/44 | B01J37/02 | B01J37/30 | C10G35/085 | C10G35/06 | C07C5/393,US
C12N | C12P,US
C09K8/18,US
C09K8/58 | C09K8/62 | C09K8/70 | C09K8/72 | C09K8/82 | C09K8/94 | E21B43/00 | E21B43/26,US
E21B7/00 | E21B7/04 | E21B49/00,GB | GB | GB
G01L13/00 | E21B47/06 | G01V9/00 | E21B47/12,US
E21B43/00 | C09K8/58 | C09K8/62 | C09K8/70 | C09K8/72 | C09K8/82 | C09K8/94 | E21B43/22,US
E21B43/22 | C09K8/58 | C09K8/62 | C09K8/70 | C09K8/72 | C09K8/82 | C09K8/94 | E21B43/00 | E21B43/267,US
F16K17/36,-
E21B | E21B43/267,US
C10G45/00 | C10G65/04 | C10G69/04 | C10G23/02,-
C09K8/58 | C09K8/62 | C09K8/70 | C09K8/72 | C09K8/82 | C09K8/94 | E21B43/00 | E21B43/26,US
E21B43/267,US
C10G29/04 | C10G75/02 | C10G19/02 | B01J23/755 | C07C1/32,US
C09K8/62 | C09K8/82 | E21B43/00 | C09K8/70 | C09K8/72 | C09K8/60 | C09K8/58 | C09K8/94 | E21B43/22 | E21B43/267,US
E21B47/06 | E21B47/01 | E21B47/12,US
C09K8/62 | C09K8/82 | E21B43/00 | C09K8/70 | C09K8/58 | C09K8/60 | C09K8/72 | C09K8/94 | E21B43/22,US
G01L13/00 | E21B47/06 | G01V9/00 | E21B47/12,US
E21B43/267,US
E21B7/00 | E21B7/04 | E21B49/00,GB | GB | GB
E21B36/00 | E21B43/24,US
C10G19/02 | B01J23/755 | C07C1/32 | C10G75/00,US
G01N7/14 | G01N7/16,CN
E21B47/06 | E21B47/01 | E21B47/12,US
C10G19/02 | B01J23/755 | C07C1/32 | C10G75/00,US
E21B7/00 | E21B7/04 | E21B49/00,GB | GB | GB
C10G19/02 | B01J23/755 | C07C1/32,US
-,GB | GB | GB
-,GB | GB | GB
C10G45/32 | C07C1/20 | C07C7/00 | C07C7/08 | C10G3/00 | C10G9/36 | C10G69/02 | C10G69/06,DE | EP
C10G19/02 | B01J23/755 | C07C1/32,US
B01J20/30 | B01J20/28 | B01J20/26 | B01J20/20 | B01J20/18 | B01J20/10 | B01J20/08 | B01J20/06 | B01D53/047,US | US
E21B43/24 | E21B36/00,US
G01N7/14 | G01N7/16,CN
C10G45/32 | C07C1/20 | C07C7/00 | C07C7/08 | C10G3/00 | C10G9/36 | C10G69/02 | C10G69/06,DE | EP
F16K17/36,-
B01J29/04 | B01J29/82 | B01J14/00,US | US | US
F25J3/02,JP
B01J29/04 | B01J14/00 | B01J29/82,US | US | US
C08H8/00 | B01J15/00 | B01J19/08 | C08L97/02 | C12P19/04 | C12P7/10,-
B01J29/04 | B01J14/00 | B01J29/82,US | US | US
G01N7/14 | G01N7/16,CN
B01J29/04 | B01J29/82 | B01J14/00,US | US | US
E21B43/24 | E21B36/00,US
B01J29/04 | B01J29/82 | B01J14/00,US | US | US
C12P7/06,JP
C10G29/04 | C10G75/02,US
B01J29/04 | B01J14/00 | B01J29/82,US | US | US
C12P7/06,JP
B01J21/04 | B01J21/02 | B01J23/72 | B01J23/755 | B01J23/83 | B01J35/00 | B01J35/02 | B01J35/10 | B01J37/00 | B01J37/02 | B01J37/08 | B01J37/18,BR
C01B3/38 | C07C29/151,-
A01C1/06 | B01F17/52 | B32B27/10 | B32B27/30 | B32B27/32 | B32B27/34 | B32B27/36 | B65D65/40 | C08F8/12 | C08F14/06 | C08F16/06 | C08F18/08 | A01N37/46 | A01N51/00 | A01P7/04 | C09D129/04 | C09D129/06 | C09J131/00 | C09K3/10 | C09K8/12 | C08F2/18 | C08F2/30 | C04B24/26 | C04B28/02 | A01P3/00 | A01N43/56 | A01N25/00 | A01N25/10 | A01N47/24,JP | JP | JP | JP | JP | JP | JP | JP | JP
B01J29/04 | B01J29/82 | B01J14/00,US | US | US
