node,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
E21B49/00,0.05325034578146612,0.021037606823994484,0.10179729155024864,0.006025535155736064,26,0.3513923688550363
G01N33/24,0.03872752420470263,0.015631628817351972,0.05507218935741578,0.0035925581924800233,26,0.3304618075703332
G06F17/50,0.01504149377593361,0.006209404235978684,0.046206143162763495,0.001107442060291174,26,0.3315333864579612
E21B43/00,0.05878284923928078,0.04684298570918056,0.11589826870791664,0.00455030549208566,26,0.38233999868474794
G01V99/00,0.021265560165975105,0.0031997067545337524,0.051972162704853914,0.0016751138935471818,26,0.3249951996604769
G01V1/28,0.016424619640387276,0.0014386825337132586,0.04344691582408762,0.0015043732980379936,26,0.3192379406592909
B01D45/16,0.009163208852005533,0.0009459141216799004,0.017605010959448626,0.0004760907083489268,23,0.3084283077489535
C10L3/10,0.04426002766251729,0.037240332585931006,0.07200391967062787,0.002918642996544306,26,0.3709864486645625
B01D45/14,0.0036307053941908715,2.794142500149837e-05,0.004459267441238933,0.00015218361605477462,13,0.27853891931314645
B04C5/103,0.0006915629322268327,0.0,0.0014901116889568077,4.656460176628808e-05,4,0.26652130673864194
B04C9/00,0.0025933609958506227,2.5449659876514094e-05,0.004917141539969927,8.462831869499309e-05,13,0.27539997816317147
E21B49/08,0.031466113416320884,0.009494122865879214,0.07082879492895695,0.002524694560169459,26,0.3413135987713756
C10G45/68,0.003284923928077455,2.4771425203825366e-05,0.008467235079511515,9.915510677428484e-05,16,0.2749012841728628
C07C2/76,0.03233056708160443,0.007056239668923912,0.08508941689882568,0.0012119138165255735,30,0.30744406276564906
C07C7/11,0.011583679114799447,0.0008122796729013162,0.02843919892606525,0.00039285250348305403,25,0.29261147145413535
B01D3/38,0.0034578146611341635,4.285039834994096e-05,0.009640916534429111,7.298658109451564e-05,16,0.2822105116474905
E21B43/30,0.018326417704011066,0.004046882440865368,0.05409613624973461,0.0015400151419127767,26,0.3365444715011589
E21B43/16,0.04495159059474412,0.029504581827953173,0.1098022503796807,0.0034961120114417434,26,0.383188083430186
E21B41/00,0.06154910096818811,0.06406037586231982,0.11887524229427163,0.004602659885194814,26,0.3872459614103928
E21B43/26,0.1251728907330567,0.21240356978786007,0.196856642889481,0.013627201977832907,26,0.42463137843416277
E21B4/04,0.00190179806362379,4.303628028082656e-06,0.007312409971027082,8.783146886964052e-05,7,0.2978478598553063
B65D6/18,0.001037344398340249,0.0,0.0050482686644485845,7.168097226291244e-05,6,0.2962626258288736
B65D88/00,0.001037344398340249,0.0,0.0050482686644485845,6.239456917630196e-05,6,0.2962626258288736
B65D88/32,0.001037344398340249,0.0,0.0050482686644485845,6.239456917630196e-05,6,0.2962626258288736
B65D90/20,0.00190179806362379,0.0006157180136135028,0.005116556558423678,0.00011673422286969818,6,0.29682432769085504
E21B43/24,0.02852697095435685,0.015188816594932483,0.07087573181136211,0.0019049316991845077,26,0.3578684908040754
E21B47/06,0.03284923928077455,0.0074587139736363465,0.0825546353501703,0.0025694807996251273,26,0.3412670982810798
E21B49/02,0.01313969571230982,0.0008790273956126006,0.03836105948387537,0.0009845345785500208,26,0.32027880084172433
C10L1/04,0.026452282157676348,0.015116543931411602,0.056892404444171076,0.0016684092789938732,26,0.3462198343307707
E21B43/267,0.051521438450899036,0.026723559865845365,0.11610548073511337,0.004964838955781181,26,0.37258671744505817
