node,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
G06F19/00,0.00267379679144385,0.0,2.1547826827359753e-08,0.0005876245380794592,1,0.09345343012776468
G01V1/30,0.01871657754010695,0.004047677646084839,2.9229138061948073e-07,0.0029834216044831463,5,0.1251483590489018
F28D20/00,0.0106951871657754,0.0,1.8325268416445003e-09,0.0026208667146975975,4,0.07816899062088727
E21B36/00,0.0106951871657754,0.0,1.8325268416445003e-09,0.0026208667146975975,4,0.07816899062088727
E21B43/24,0.0160427807486631,0.007627130793823744,1.9360178500168042e-08,0.003192243587953082,4,0.09859428679491086
F24T10/13,0.0106951871657754,0.0,1.8325268416445003e-09,0.0026208667146975975,4,0.07816899062088727
F24T10/40,0.0106951871657754,0.0,1.8325268416445003e-09,0.0026208667146975975,4,0.07816899062088727
C10L3/10,0.07754010695187165,0.006365500136198764,1.7691577318757634e-10,0.009130253087089936,10,0.07798573975044563
B01D3/40,0.0213903743315508,1.4336712018465685e-05,3.842944868933438e-11,0.003051472901291744,7,0.04746958071766256
B01D53/40,0.01871657754010695,0.0,3.6239901222747845e-11,0.002287647605829417,7,0.04679144385026738
C07C7/08,0.01871657754010695,0.0,3.6239901222747845e-11,0.002287647605829417,7,0.04679144385026738
C07C7/10,0.01871657754010695,0.0,3.6239901222747845e-11,0.002287647605829417,7,0.04679144385026738
C07C7/11,0.0213903743315508,1.4336712018465685e-05,3.842944868933438e-11,0.0030514729012917434,7,0.04746958071766256
C10G70/04,0.01871657754010695,0.0,3.6239901222747845e-11,0.0022876476058294173,7,0.04679144385026738
C10G70/06,0.0213903743315508,1.4336712018465685e-05,3.842944868933438e-11,0.0030514729012917434,7,0.04746958071766256
C10L3/08,0.01871657754010695,0.0,3.570668825121052e-11,0.003096763441988864,7,0.04962728893210176
C22B1/244,0.0053475935828877,0.0,3.988128322081268e-42,0.0027528721500547195,2,0.0053475935828877
C22B1/245,0.0053475935828877,0.0,3.988128322081268e-42,0.002623235512924025,2,0.0053475935828877
C21C5/52,0.0053475935828877,0.0,3.988128322081268e-42,0.0027528721500547195,2,0.0053475935828877
B01D53/14,0.0106951871657754,0.0,2.6412619530298155e-11,0.001104897143480768,4,0.04486850780162625
C07C5/00,0.01871657754010695,0.0,3.570668825121052e-11,0.0017856803827272947,7,0.04962728893210176
B01J8/00,0.01871657754010695,0.0,3.570668825121052e-11,0.0017856803827272947,7,0.04962728893210176
B01J19/24,0.026737967914438502,0.0008649816251140964,3.764116748563027e-11,0.0034802312191795867,7,0.0528290495083664
F25J1/00,0.01871657754010695,0.0,3.570668825121052e-11,0.0018627669000217575,7,0.04962728893210176
C01B3/38,0.026737967914438502,0.0008649816251140964,3.764116748563027e-11,0.0034802312191795867,7,0.0528290495083664
C07C1/04,0.01871657754010695,0.0,3.570668825121052e-11,0.0018627669000217575,7,0.04962728893210176
C10G2/00,0.013368983957219251,0.0004922271126339884,8.236938678073356e-12,0.003203377639194466,3,0.035993418346359524
B01J12/00,0.00802139037433155,0.0,7.549389890209061e-12,0.001361667045405165,3,0.03521936633891093
C01B3/36,0.00267379679144385,0.0,7.445450561516274e-13,0.0014962571444105436,1,0.026203208556149736
E21B17/18,0.034759358288770054,0.016987092180279374,9.859613527957793e-08,0.0038054571668661163,7,0.12092648669544488
E21B21/12,0.0213903743315508,0.003131137904832905,1.2167462415325902e-08,0.0038003557253888784,5,0.09433175183949179
E21B43/00,0.026737967914438502,0.006731564183070255,1.9964404077034608e-08,0.005124566063005319,5,0.09504638632312429
E21B43/29,0.0213903743315508,0.003131137904832905,1.2167462415325902e-08,0.0038003557253888784,5,0.09433175183949179
E21B43/28,0.013368983957219251,0.0,1.1372967772516456e-08,0.0011178875957674325,5,0.09310666415326461
E21F17/16,0.013368983957219251,0.0,1.1372967772516456e-08,0.0011178875957674325,5,0.09310666415326461
E21B17/01,0.013368983957219251,0.0,6.510809944422903e-08,0.0012354949586488983,5,0.11226955699912669
E21B7/06,0.029411764705882353,0.0077344513237905445,8.880221134328862e-08,0.0038390065019993794,5,0.11780397178077377
E21B17/00,0.0374331550802139,0.003741130866190006,1.3635470402150235e-07,0.004738174828816647,7,0.12483704472290952
E21B19/00,0.013368983957219251,0.0,6.510809944422903e-08,0.0012354949586488983,5,0.11226955699912669
E21B33/068,0.01871657754010695,0.00010732052996680029,8.649367138574781e-08,0.0020477962764541328,5,0.1167081208804875
E21B41/00,0.058823529411764705,0.038613532561807946,5.064090661538143e-07,0.006741310166212813,7,0.15731815667275748
E21B43/16,0.0320855614973262,0.010741644064463813,1.0203722559720374e-07,0.004080661598667548,5,0.12360712310002371
E21B7/00,0.01871657754010695,0.0028479074705583312,2.0943659627722037e-07,0.0025471288976691916,5,0.13171782671551083
E21B17/10,0.0106951871657754,0.0,8.40567251544715e-09,0.0021234393725980414,4,0.089775477600375
-,0.0,0.0,6.172539507247461e-67,0.0004064489906516732,0,0.0
E21B29/00,0.0213903743315508,0.007670140929879141,3.898972499171761e-09,0.005123424557495979,5,0.07697007972179391
E21C41/16,0.013368983957219251,0.0,3.836114678369097e-09,0.003029860429323731,5,0.07650074996739273
E21C45/00,0.013368983957219251,0.0,3.836114678369097e-09,0.003029860429323731,5,0.07650074996739273
E21B43/12,0.013368983957219251,0.00032592125321978657,1.702629701994874e-08,0.0026043554626049596,3,0.09345343012776468
E21B43/14,0.026737967914438502,0.004765523074937993,9.65325637865021e-08,0.004192250815732066,7,0.12005859325026226
F16L1/00,0.0160427807486631,0.0,8.185749800774394e-08,0.0020170472245433315,6,0.11698016778230683
E21B43/10,0.02406417112299465,0.006430217959970426,1.760727352699262e-07,0.003331786421087487,7,0.13137301565081055
E21B23/12,0.029411764705882353,0.004410928397681275,9.640147621282846e-08,0.0036255634769583006,7,0.11835965089294724
E21B33/047,0.01871657754010695,0.0,8.837244933274283e-08,0.001379257930447336,7,0.1172534859313309
E21B33/00,0.01871657754010695,0.0,8.837244933274283e-08,0.001379257930447336,7,0.1172534859313309
E21B47/04,0.013368983957219251,0.0,5.217426491621064e-07,0.0015704782103973798,5,0.11948688566335626
E21B49/00,0.06684491978609625,0.0334270189172173,1.6977539256264538e-06,0.010718567289065086,8,0.16293666226821307
E21B21/06,0.026737967914438502,0.002729516572083628,8.227567314679241e-07,0.004377250513554814,5,0.12421903955101395
E21B47/08,0.01871657754010695,0.0008395890428047679,6.573759145149987e-07,0.001755608528843538,5,0.1306887811942959
E21B49/08,0.013368983957219251,0.0,5.217426491621063e-07,0.0014818834221053821,5,0.11948688566335626
E21B47/11,0.058823529411764705,0.006573450089272051,3.3777335315043557e-06,0.004083754730544194,12,0.1310300051660826
C09K8/80,0.08021390374331551,0.020467218988433847,4.0463867764602695e-06,0.008994624475980373,12,0.1450418843312417
C03C12/00,0.00802139037433155,0.0,3.4988586494401107e-07,0.0023936461569612514,3,0.10455102495543672
C03B19/10,0.00802139037433155,0.0,3.4988586494401107e-07,0.0010546114023033755,3,0.10455102495543672
C03C23/00,0.00802139037433155,0.0,3.4988586494401107e-07,0.0023936461569612514,3,0.10455102495543672
E21B43/26,0.07754010695187165,0.037547498697201226,1.7947049699380973e-06,0.012003122678382114,8,0.16954220263043793
B26B21/54,0.0053475935828877,0.0,1.8076771693565302e-07,0.0006359832591967061,2,0.11835965089294724
E21B4/00,0.0106951871657754,0.0,8.40567251544715e-09,0.0021234393725980414,4,0.089775477600375
E21B10/32,0.0106951871657754,0.0,8.40567251544715e-09,0.0021234393725980414,4,0.089775477600375
F16C32/06,0.0106951871657754,0.0,8.40567251544715e-09,0.0021234393725980414,4,0.089775477600375
F16C17/00,0.00267379679144385,0.0,2.779864662476933e-51,0.0027096599376778227,1,0.00267379679144385
E21B10/22,0.00267379679144385,0.0,2.779864662476933e-51,0.0027096599376778227,1,0.00267379679144385
E21B47/06,0.0160427807486631,0.0019497928345113332,3.5034195497569227e-07,0.003439232887655195,5,0.13749175884550582
E21B47/07,0.013368983957219251,0.0,3.4856867192004766e-07,0.0013550756951935528,5,0.1371160983022121
E21B43/20,0.01871657754010695,0.0032170615405981207,3.7904682961974937e-07,0.0013133882438217455,5,0.13940136660724897
E21B7/04,0.0160427807486631,0.0019708541471670313,2.2309965889228757e-07,0.002124681606122956,4,0.12802166321073885
E21B47/022,0.0320855614973262,0.005831300152794689,3.886467959446624e-07,0.0020916702960303347,8,0.13490454832959578
E21B44/00,0.0106951871657754,0.0,2.075906624289667e-07,0.0008623406282618646,4,0.1273718070523087
E21B47/005,0.00802139037433155,0.0,2.6937842682088318e-08,0.0016635717323139224,3,0.10632307622586785
E21B43/34,0.0320855614973262,0.01731036996114312,2.364295520472568e-07,0.003551294670799435,5,0.13137301565081055
E21B33/138,0.00802139037433155,0.0,2.6937842682088318e-08,0.0016635717323139224,3,0.10632307622586785
E21B37/02,0.00802139037433155,0.0009677280612464338,3.140092090440153e-10,0.0026234232471863206,2,0.06392928914472563
