IPC
G06F17/50 | E21B43/00 | G01V99/00 | G01V1/28
G06F17/50
C10G45/68 | C07C2/76 | C07C7/11 | B01D3/38
G01N33/24 | E21B49/00
E21B43/24 | E21B43/16 | E21B47/06
G01N33/24 | E21B49/02
E21B43/26 | C10L1/04 | E21B43/267 | C07C29/00 | E21B43/16 | E21B43/34 | C07C1/24 | C07C41/09 | E21B43/40
B01J19/08 | C01B21/06 | C07C253/24 | C07C209/02 | C07C2/76 | C01C1/04
C07C29/00 | E21B43/26 | C10L1/04 | C07C41/09 | C07C1/24 | E21B43/16 | E21B43/34
G01V9/00
G01V9/00
C07C2/76 | C07C7/11 | C07C15/04 | C07C15/06 | C07C15/08 | C10G1/00
E21B43/26 | C01B3/34 | C07C29/151 | C07C29/154 | C09K8/594 | C10L1/02 | E21B43/16 | E21B43/34 | E21B43/00
E21B43/00 | E21B43/16 | E21B43/34
C07C29/151 | C01B3/34 | C07C29/154 | C09K8/594 | C10G2/00 | C10L1/02 | E21B43/16 | E21B43/26 | E21B43/34
E21B43/16
F25J1/00
C10L3/00 | F25J1/00 | C10L3/10
C07C2/76
C07C5/327 | C07C7/04
C07C5/327 | C07C7/04
E21B43/16
E21B43/16 | E21B43/25
C07C5/333 | C07C2/06 | C10L3/10
C07C5/333 | C07C2/06 | C10L3/10 | C10G5/00 | C07C11/02
G01V3/38 | G01V11/00 | G01V3/30 | G01F1/74
C07C2/86
C07C2/76 | C07C51/363
G01V3/38 | G01V11/00
F25J3/08
C10G45/68 | C10G69/06 | C10G9/36
C10G45/68 | C10G69/06 | C10G9/36 | C10G47/18
G01V3/00 | G01V3/02 | G01V3/12 | G01V3/20 | G01V3/30 | G01N27/02 | E21B49/00
C07C27/06
C07C41/09 | C07C29/151
E21B49/08 | E21B47/00
-
E21B49/08 | E21B47/00
E21B47/06 | E21B49/00
E21B47/06 | E21B49/00
E21B49/08 | E21B47/00
C10G1/00
C07C5/333 | C07C2/06 | C10L3/10
C07C5/32 | C10G9/36 | C10G47/18 | F25J3/02 | C07C6/02 | C10G65/10 | C10G69/06 | C10G69/14 | C10G45/68
B01J19/10 | C07C2/56
C10G1/00 | C10G9/02 | C10G1/02 | C10B53/06 | C10G19/073 | C10G19/067
C07C29/151 | C07C31/04
C07C29/151 | C07C31/04
C07C29/151 | C07C31/04
