IPC
E21B43/26 | E21B43/24 | E21B36/00
E21B43/26
C10L3/00 | F02D19/06 | C10L3/06 | F02D19/08 | C10K3/06 | C10L1/185 | C01B3/34 | C07C41/01 | F02B7/06
C07C6/04 | C07C2/26 | C10J3/82 | C07C29/151 | C01B3/34 | C07C1/24 | C07C41/09
C07C6/04 | C07C2/26 | C10J3/82 | C07C1/24 | C01B3/34 | C07C1/20 | C07C29/151 | C07C41/09
E21B43/24 | H05B6/10
C07C1/20 | C07C6/04
C07C1/20 | C07C6/04
C07C1/20 | C07C6/04
C07C1/20 | C07C6/04
E21B36/04 | E21B43/24 | H01B7/30
E21B36/04 | E21B43/24 | H01B7/30
B01J20/22 | B01J20/30 | B01D53/02
E21B36/04 | E21B43/24 | H01B7/30
E21B36/04 | E21B43/24 | H01B7/30
E21B36/04 | E21B43/24 | H01B7/30
-
C07C7/00 | C07C7/163
F02D19/06 | F02D19/08 | F02B7/06 | C10L3/00 | C10L3/06 | C07C41/01 | C01B3/34
C07C1/20 | C07C6/04
C10G45/32 | C07C1/20 | C07C7/00 | C07C7/08 | C10G3/00 | C10G9/36 | C10G69/02 | C10G69/06
C10G45/32 | C07C1/20 | C07C7/00 | C07C7/08 | C10G3/00 | C10G9/36 | C10G69/02 | C10G69/06
F16H41/24 | F16H41/30
B01D53/14 | B01D19/00 | B01D53/22
C07C45/50 | C07C45/79 | B01D61/36 | B01J31/18 | B01J31/02 | B01D5/00 | C07C45/82 | B01J31/24
G01F1/58 | F16L58/00
C07C45/50 | B01D61/38 | C07C45/82 | B01J31/18 | C07C45/78 | B01D61/36 | B01J31/24 | C07C45/79 | B01J31/00 | B01D5/00 | B01J31/02
G01F1/58 | F16L58/00 | F16L57/06 | F16L58/10
C10L1/04 | C07C2/12
F04B53/22 | F04B1/12 | F04B15/02 | F04B53/10
F04B53/22 | F04B1/12 | F04B15/02 | F04B53/10 | F16K27/02 | F16K27/00 | F04B53/16 | F04B1/0452 | F04B53/00 | F04B1/122 | E21B21/10
G01F25/00 | G01F1/7082
G01F25/00 | G01F1/708 | G01F1/692 | G01F1/66 | G01F7/00 | G01F1/7082
B01D53/14 | C10L3/10
B01D53/14 | C10L3/10
E02D27/52 | E02D27/42 | E02D27/50 | E02D27/14 | E02D15/08 | E04H12/22 | F03D13/20 | F03D13/25 | E02B17/00
C10G50/00 | B01J29/40 | C10L1/04
C10G50/00 | C10G69/12 | C10L1/06 | C10L1/08
C10G50/00 | C10G69/12 | C10L1/06 | C10L1/08
-
C10G50/00 | B01J29/40 | C10L1/04
C10G50/00 | C10G69/12 | C10L1/06 | C10L1/08
E21B36/04
C10G50/00 | C10G69/12 | C10L1/06 | C10L1/08
G01F1/58 | F16L57/06
G01F1/58 | F16L57/06
G01F1/58 | F16L57/06 | F16L58/10
G01F1/58 | F16L58/10 | F16L57/06
G01F1/58
B01D53/14 | C10L3/10
B01D53/14 | C10L3/10
B01D53/14 | C10L3/10
B01D53/14 | C10L3/10
B01D53/14
