IPC
E21B43/26
E21B43/26 | F23Q3/00 | E21B36/04 | E21B43/00
B01D63/06 | B01D29/52
B01D53/64 | B01D53/81 | C10L3/10 | B01D53/26
B01D53/64 | B01D53/26 | C10L3/10 | B01D53/34 | B01J20/02 | B01J20/32 | B01J20/06 | B01D53/81
B01D63/06 | B01D71/02 | B01D69/02
E21B49/08
G01N1/10 | E21B49/08
E21B49/08
E21B49/08 | G01N1/10
B01D53/64 | B01D53/34 | C10L3/10 | B01D53/00
B01D53/64 | B01J20/06 | B01J20/30 | B01D53/34 | C10L3/10 | B01J20/32 | B01D53/00
B01D53/26 | B01D53/34 | B01D53/64 | C10L3/10
B01D53/26 | B01D53/34 | B01D53/64 | C10L3/10
B01D53/34 | B01D53/64 | C10L3/10
B01D53/34 | B01D53/64 | C10L3/10
C01B3/36 | C01B3/38 | E21B43/00 | C01B3/34
C01B3/36 | C01B3/38 | E21B43/00 | C01B3/34
E21B43/26 | E21B36/00 | E21B33/124
E21B43/26 | E21B36/00 | E21B33/124
E21B43/26 | E21B36/04 | F23Q3/00 | E21B43/00
E21B43/26
E21B49/08 | E21B43/16 | E21B43/26 | G01N33/00 | G01N33/24
E21B49/08 | G01N33/24 | G01N33/00 | E21B43/16 | E21B43/26 | E21B47/10
C07C319/06 | C07C319/24
C07C319/06 | C01B32/75 | C07C319/02 | C07C319/24
C07C319/06 | C07C319/24 | C07C319/02 | C01B32/75
C07C319/06 | C07C319/24 | C07C319/02 | C01B32/75
C09K8/68 | C09K8/80 | E21B43/26 | C09K8/88
C09K8/68 | E21B43/26
C07C319/24 | C07C319/06
C07C319/24 | C01B32/75 | C07C319/06 | C07C319/02
C09K8/68 | C09K8/80 | C09K8/88
C09K8/68 | C09K8/80 | C09K8/88
C07C319/02 | C07C319/24
C07C319/02 | C07C319/24
C07C319/24 | C07C319/02
C07C319/02 | C07C319/06
C07C319/02 | C07C319/06
C07C319/24
C09K8/68 | C09K8/80 | C09K8/88
C07C319/02 | C07C319/24 | C07C321/04 | C07C321/14
C07C321/14 | C07C319/02 | C07C319/24 | C07C321/04
C07C319/02 | C07C319/24 | C07C321/04 | C07C321/14
C09K8/68 | C09K8/80 | C09K8/88
C07C319/24 | C07C321/04 | C07C321/14
C07C319/24 | C07C321/04 | C07C321/14
C07C319/02 | C07C319/24 | C07C321/04 | C07C321/14
G01V99/00
G01V99/00
C09K8/68 | E21B43/26 | E21B43/267 | C09K8/88
C09K8/68 | C09K8/72 | C09K8/88 | E21B43/267 | E21B43/26 | E21B43/04
C09K8/68 | E21B43/267 | C09K8/88 | C09K8/72 | E21B43/26 | E21B43/04
C09K8/68 | E21B43/267 | C09K8/88 | C09K8/72 | E21B43/26 | E21B43/04
C09K8/64 | C09K8/80 | E21B43/267
G01V99/00 | G06F17/11 | G06F17/50
C09K8/64 | C09K8/60 | C09K8/80 | E21B43/26
C09K8/64 | C09K8/60 | C09K8/80 | E21B43/26 | C08L33/26
G01V1/00 | G01V1/28
G01V99/00
G01V99/00 | G06Q50/02
G01V99/00
