f,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
0,0.9253968253968254,0.9105820105820106,0.928395061728395,0.9238095238095239,0.9393298059964726,0.926278659611993
1,0.908641975308642,0.890299823633157,0.9102292768959436,0.9019400352733686,0.9285714285714286,0.9058201058201059
2,0.8931216931216931,0.8679012345679012,0.8929453262786596,0.8837742504409171,0.9144620811287478,0.8860670194003527
3,0.8744268077601411,0.8444444444444444,0.8784832451499118,0.8691358024691358,0.8911816578483245,0.8661375661375661
4,0.8578483245149912,0.8202821869488536,0.8620811287477954,0.855379188712522,0.8659611992945326,0.8516754850088183
5,0.8409171075837742,0.7966490299823633,0.8419753086419753,0.8398589065255732,0.8518518518518519,0.8345679012345679
6,0.8282186948853616,0.772663139329806,0.8268077601410935,0.8192239858906526,0.8312169312169312,0.8188712522045856
7,0.8123456790123457,0.7412698412698413,0.8119929453262786,0.8003527336860671,0.8156966490299824,0.790299823633157
8,0.7943562610229277,0.7204585537918872,0.7957671957671958,0.7800705467372134,0.8008818342151676,0.7721340388007054
9,0.7781305114638448,0.7035273368606701,0.780952380952381,0.7590828924162257,0.7839506172839507,0.7564373897707231
10,0.7627865961199295,0.6738977072310406,0.7606701940035273,0.7372134038800705,0.7671957671957672,0.7368606701940035
11,0.7350970017636684,0.6537918871252204,0.7444444444444445,0.716931216931217,0.7520282186948853,0.7257495590828924
12,0.7054673721340388,0.6313932980599647,0.727336860670194,0.6957671957671958,0.7444444444444445,0.708994708994709
13,0.6894179894179894,0.6063492063492063,0.7061728395061728,0.6776014109347442,0.727336860670194,0.6973544973544974
14,0.672663139329806,0.5828924162257496,0.6878306878306878,0.6481481481481481,0.7141093474426807,0.6832451499118166
15,0.6432098765432098,0.5500881834215168,0.67336860670194,0.6227513227513227,0.6994708994708995,0.6721340388007054
16,0.6220458553791887,0.5128747795414462,0.654320987654321,0.6010582010582011,0.6756613756613756,0.6606701940035273
17,0.5857142857142857,0.4848324514991182,0.6336860670194003,0.573015873015873,0.6537918871252204,0.6345679012345679
18,0.5421516754850089,0.45185185185185184,0.607583774250441,0.5320987654320988,0.6349206349206349,0.6188712522045855
19,0.509347442680776,0.42680776014109345,0.5835978835978836,0.5054673721340388,0.6118165784832451,0.6024691358024692
20,0.46437389770723103,0.3932980599647266,0.5599647266313933,0.4756613756613757,0.5867724867724867,0.5738977072310406
21,0.43245149911816577,0.3656084656084656,0.5417989417989418,0.4552028218694885,0.5705467372134039,0.5552028218694885
22,0.4195767195767196,0.32821869488536154,0.5091710758377425,0.4156966490299824,0.5493827160493827,0.5220458553791887
23,0.3504409171075838,0.27901234567901234,0.49576719576719575,0.3941798941798942,0.5118165784832451,0.5068783068783069
24,0.29153439153439153,0.25026455026455025,0.4786596119929453,0.391005291005291,0.5028218694885361,0.48641975308641977
25,0.2564373897707231,0.13033509700176366,0.46437389770723103,0.391005291005291,0.47372134038800706,0.46455026455026455
26,0.23950617283950618,0.11869488536155202,0.45185185185185184,0.391005291005291,0.4472663139329806,0.4455026455026455
27,0.1564373897707231,0.09700176366843033,0.4398589065255732,0.391005291005291,0.4354497354497355,0.42786596119929454
28,0.15026455026455027,0.0855379188712522,0.4123456790123457,0.3652557319223986,0.4075837742504409,0.409700176366843
29,0.09823633156966491,0.062081128747795415,0.39894179894179893,0.3433862433862434,0.39029982363315696,0.38835978835978835
30,0.08165784832451499,0.05414462081128748,0.37865961199294534,0.3216931216931217,0.35873015873015873,0.37601410934744267
31,0.06613756613756613,0.040035273368606704,0.34444444444444444,0.2798941798941799,0.3343915343915344,0.36596119929453264
32,0.06031746031746032,0.033862433862433865,0.32469135802469135,0.23932980599647266,0.32398589065255734,0.3350970017636684
33,0.059788359788359786,0.02451499118165785,0.2744268077601411,0.17865961199294533,0.29347442680776015,0.31234567901234567
34,0.020458553791887126,0.018165784832451497,0.25749559082892415,0.15943562610229278,0.25343915343915346,0.2832451499118166
35,0.019753086419753086,0.012522045855379188,0.24779541446208111,0.13368606701940036,0.24426807760141092,0.27195767195767195
36,0.010229276895943563,0.005643738977072311,0.23985890652557318,0.12874779541446207,0.2271604938271605,0.2659611992945326
37,0.010229276895943563,0.004585537918871252,0.22645502645502646,0.09347442680776014,0.18271604938271604,0.23686067019400353
38,0.008641975308641974,0.004585537918871252,0.2218694885361552,0.08324514991181658,0.15978835978835979,0.21322751322751324
39,0.008641975308641974,0.004585537918871252,0.19735449735449737,0.07142857142857142,0.1509700176366843,0.2088183421516755
40,0.007407407407407408,0.004585537918871252,0.18289241622574956,0.06049382716049383,0.12469135802469136,0.19294532627865962
41,0.007407407407407408,0.004585537918871252,0.17883597883597885,0.05361552028218695,0.12275132275132275,0.12927689594356262
42,0.006701940035273368,0.004585537918871252,0.1559082892416226,0.04056437389770723,0.059964726631393295,0.12680776014109346
43,0.003703703703703704,0.004585537918871252,0.14409171075837743,0.036331569664902995,0.04779541446208113,0.12134038800705467
44,0.003703703703703704,0.004585537918871252,0.1328042328042328,0.032275132275132276,0.04426807760141094,0.10758377425044091
45,0.003703703703703704,0.004585537918871252,0.10211640211640212,0.03139329805996473,0.03597883597883598,0.08395061728395062
46,0.003703703703703704,0.004585537918871252,0.10105820105820106,0.018871252204585538,0.03368606701940035,0.0761904761904762
47,0.003703703703703704,0.0038800705467372134,0.07671957671957672,0.010405643738977073,0.01798941798941799,0.07336860670194004
48,0.003703703703703704,0.0038800705467372134,0.0689594356261023,0.010405643738977073,0.01798941798941799,0.07195767195767196
49,0.002998236331569665,0.0038800705467372134,0.038447971781305115,0.007583774250440917,0.01798941798941799,0.07195767195767196
50,0.002998236331569665,0.0038800705467372134,0.03015873015873016,0.007407407407407408,0.01798941798941799,0.07001763668430334
51,0.0026455026455026454,0.0038800705467372134,0.029982363315696647,0.007407407407407408,0.01781305114638448,0.02328042328042328
52,0.0026455026455026454,0.0038800705467372134,0.02398589065255732,0.005643738977072311,0.01164021164021164,0.02328042328042328
53,0.0026455026455026454,0.0038800705467372134,0.02345679012345679,0.005643738977072311,0.008289241622574956,0.022222222222222223
54,0.0026455026455026454,0.0038800705467372134,0.022222222222222223,0.004761904761904762,0.008289241622574956,0.01710758377425044
55,0.0026455026455026454,0.0038800705467372134,0.021693121693121695,0.004761904761904762,0.008289241622574956,0.01710758377425044
56,0.002292768959435626,0.0038800705467372134,0.021693121693121695,0.004409171075837742,0.007936507936507936,0.01710758377425044
57,0.002292768959435626,0.0038800705467372134,0.020458553791887126,0.004409171075837742,0.007936507936507936,0.014638447971781305
58,0.002292768959435626,0.0038800705467372134,0.020458553791887126,0.0031746031746031746,0.007054673721340388,0.014285714285714285
59,0.0019400352733686067,0.0038800705467372134,0.019929453262786598,0.0019400352733686067,0.007054673721340388,0.014285714285714285
60,0.0019400352733686067,0.0038800705467372134,0.016049382716049384,0.001763668430335097,0.007054673721340388,0.014285714285714285
61,0.0015873015873015873,0.0038800705467372134,0.015520282186948854,0.001763668430335097,0.004761904761904762,0.013756613756613757
62,0.0015873015873015873,0.0038800705467372134,0.014814814814814815,0.0014109347442680777,0.004761904761904762,0.013403880070546737
63,0.0015873015873015873,0.0038800705467372134,0.014462081128747795,0.0014109347442680777,0.004761904761904762,0.013403880070546737
64,0.0014109347442680777,0.0038800705467372134,0.013932980599647267,0.0010582010582010583,0.004232804232804233,0.012698412698412698
65,0.0014109347442680777,0.0038800705467372134,0.013403880070546737,0.0010582010582010583,0.003350970017636684,0.01146384479717813
66,0.0014109347442680777,0.0038800705467372134,0.013403880070546737,0.0008818342151675485,0.003350970017636684,0.01146384479717813
67,0.0010582010582010583,0.0038800705467372134,0.013403880070546737,0.0008818342151675485,0.003350970017636684,0.01146384479717813
68,0.0010582010582010583,0.0038800705467372134,0.013227513227513227,0.0008818342151675485,0.002998236331569665,0.01146384479717813
69,0.0010582010582010583,0.0038800705467372134,0.012874779541446208,0.0008818342151675485,0.002998236331569665,0.010582010582010581
70,0.0010582010582010583,0.0038800705467372134,0.012522045855379188,0.0008818342151675485,0.002998236331569665,0.010229276895943563
71,0.0010582010582010583,0.0038800705467372134,0.012522045855379188,0.0008818342151675485,0.002998236331569665,0.010052910052910053
72,0.0010582010582010583,0.0038800705467372134,0.012345679012345678,0.0008818342151675485,0.0028218694885361554,0.010052910052910053
73,0.0010582010582010583,0.0038800705467372134,0.010052910052910053,0.0008818342151675485,0.0028218694885361554,0.010052910052910053
74,0.0008818342151675485,0.0038800705467372134,0.008818342151675485,0.0008818342151675485,0.0024691358024691358,0.010052910052910053
75,0.0008818342151675485,0.0038800705467372134,0.007936507936507936,0.0008818342151675485,0.0024691358024691358,0.010052910052910053
76,0.0008818342151675485,0.0038800705467372134,0.007936507936507936,0.0007054673721340388,0.0024691358024691358,0.010052910052910053
77,0.0008818342151675485,0.0038800705467372134,0.007936507936507936,0.0007054673721340388,0.0021164021164021165,0.010052910052910053
78,0.0008818342151675485,0.0038800705467372134,0.007936507936507936,0.0007054673721340388,0.0021164021164021165,0.010052910052910053
79,0.0008818342151675485,0.0038800705467372134,0.007936507936507936,0.0007054673721340388,0.0021164021164021165,0.010052910052910053
80,0.0008818342151675485,0.0038800705467372134,0.005643738977072311,0.0007054673721340388,0.0021164021164021165,0.010052910052910053
81,0.0007054673721340388,0.0038800705467372134,0.005643738977072311,0.0007054673721340388,0.0021164021164021165,0.009700176366843033
82,0.0007054673721340388,0.0038800705467372134,0.0038800705467372134,0.0007054673721340388,0.0021164021164021165,0.008112874779541446
83,0.0007054673721340388,0.0038800705467372134,0.0038800705467372134,0.0005291005291005291,0.0021164021164021165,0.0038800705467372134
84,0.0007054673721340388,0.0038800705467372134,0.0038800705467372134,0.0005291005291005291,0.0021164021164021165,0.0038800705467372134
85,0.0007054673721340388,0.0038800705467372134,0.0038800705467372134,0.0005291005291005291,0.0021164021164021165,0.0038800705467372134
86,0.0007054673721340388,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0021164021164021165,0.0038800705467372134
87,0.0007054673721340388,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0021164021164021165,0.0038800705467372134
88,0.0007054673721340388,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0021164021164021165,0.0038800705467372134
89,0.0005291005291005291,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0021164021164021165,0.0038800705467372134
90,0.0005291005291005291,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0019400352733686067,0.0038800705467372134
91,0.0005291005291005291,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0019400352733686067,0.0038800705467372134
92,0.0005291005291005291,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0010582010582010583,0.0038800705467372134
93,0.0005291005291005291,0.0038800705467372134,0.0038800705467372134,0.0003527336860670194,0.0008818342151675485,0.0038800705467372134
94,0.0005291005291005291,0.0038800705467372134,0.003350970017636684,0.0001763668430335097,0.0008818342151675485,0.003350970017636684
95,0.0003527336860670194,0.0038800705467372134,0.0010582010582010583,0.0001763668430335097,0.0003527336860670194,0.0008818342151675485
96,0.0003527336860670194,0.0015873015873015873,0.0008818342151675485,0.0001763668430335097,0.0003527336860670194,0.0007054673721340388
97,0.0003527336860670194,0.0008818342151675485,0.0005291005291005291,0.0001763668430335097,0.0003527336860670194,0.0005291005291005291
98,0.0003527336860670194,0.0008818342151675485,0.0003527336860670194,0.0001763668430335097,0.0003527336860670194,0.0003527336860670194
99,0.0,0.0,0.0,0.0,0.0,0.0
