f,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
0,0.0038800705467372134,0.0049382716049382715,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134
1,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134
2,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134
3,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134
4,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134
5,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134
6,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134
7,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.004056437389770723
8,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.004056437389770723
9,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.004056437389770723
10,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.004409171075837742,0.0038800705467372134,0.0049382716049382715
11,0.00582010582010582,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
12,0.00599647266313933,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
13,0.004409171075837742,0.0038800705467372134,0.004056437389770723,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
14,0.004409171075837742,0.004409171075837742,0.004056437389770723,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
15,0.004409171075837742,0.004409171075837742,0.004056437389770723,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
